"","sample_id","predator","prey","count","volume_ml"
"1","RR01","Rattus_sp","Tecido Animal",1,0.252
"2","RR04","Rattus_sp","Tecido Animal",1,2.1
"3","#10","Rattus_sp","Tecido Animal",1,0.075
"4","RN01","Rattus_sp","Réptil",1,0.7
"5","#06","Rattus_sp","Réptil",1,1.625
"6","#07","Rattus_sp","Réptil",1,0.175
"7","#08","Rattus_sp","Réptil",1,0.817
"8","#09","Rattus_sp","Réptil",1,1.49
"9","#10","Rattus_sp","Réptil",1,0.934
"10","RR01","Rattus_sp","Tecido Vegetal",1,0.403
"11","RR02","Rattus_sp","Tecido Vegetal",1,1.85
"12","RR03","Rattus_sp","Tecido Vegetal",1,2.55
"13","RR05","Rattus_sp","Tecido Vegetal",1,0.327
"14","#06","Rattus_sp","Tecido Vegetal",1,0.705
"15","#07","Rattus_sp","Tecido Vegetal",1,0.005
"16","RR01","Rattus_sp","Sementes",1,0.025
"17","RR04","Rattus_sp","Sementes",1,1
"18","RR02","Rattus_sp","Inseto",1,0.23
"19","RR03","Rattus_sp","Inseto",1,0.023
"20","#06","Rattus_sp","Inseto",1,0.01
"21","#09","Rattus_sp","Inseto",1,0.01
"22","RR01","Rattus_sp","Carrapato",20,0.025
"23","#07","Rattus_sp","Carrapato",26,0.043
