Species Eaten,Species Evaluated,FO,NO,Volume
Teiu,Teiu,,,
Gato,Teiu,,,
Rato,Teiu,2,2,
Sapo,Teiu,,,
Hexapoda,Teiu,39,634,99576.13
Myriapoda,Teiu,,,
Mollusca,Teiu,,,
Crustacea,Teiu,15,15,557653.71
Chelicerata,Teiu,1,1,0.66
Amphisbaena_ridleyi,Teiu,6,6,8749.24
Animal_tissue,Teiu,,,
Birds,Teiu,1,1,4009
Fish,Teiu,,,
Fruits,Teiu,20,187,25550.04
Kerodon_rupestris,Teiu,1,1,
Mammal,Teiu,2,2,
Mus_musculus,Teiu,1,2,
Rodentia,Teiu,1,1,
Seeds,Teiu,7,10,228.61
Trachylepis_atlantica,Teiu,16,17,66825.77
Unidentified_insects,Teiu,,,
Unidentified_material,Teiu,6,6,629135
Teiu,Gato,,,
Gato,Gato,,,
Rato,Gato,14,15,
Sapo,Gato,,,
Hexapoda,Gato,27,81,
Myriapoda,Gato,3,7,
Mollusca,Gato,4,7,
Crustacea,Gato,7,7,
Chelicerata,Gato,1,1,
Amphisbaena_ridleyi,Gato,,,
Animal_tissue,Gato,,,
Birds,Gato,42,44,
Fish,Gato,3,4,
Fruits,Gato,,,
Kerodon_rupestris,Gato,15,15,
Mammal,Gato,7,7,
Mus_musculus,Gato,,,
Rodentia,Gato,11,11,
Seeds,Gato,23,119,
Trachylepis_atlantica,Gato,48,59,
Unidentified_insects,Gato,,,
Unidentified_material,Gato,,,
Teiu,Rato,,,
Gato,Rato,,,
Rato,Rato,,,
Sapo,Rato,,,
Hexapoda,Rato,4,4,
Myriapoda,Rato,,,
Mollusca,Rato,,,
Crustacea,Rato,,,
Chelicerata,Rato,2,46,
Amphisbaena_ridleyi,Rato,,,
Animal_tissue,Rato,8,10,
Birds,Rato,,,
Fish,Rato,,,
Fruits,Rato,,,
Kerodon_rupestris,Rato,,,
Mammal,Rato,,,
Mus_musculus,Rato,,,
Rodentia,Rato,,,
Seeds,Rato,2,2,
Trachylepis_atlantica,Rato,,,
Unidentified_insects,Rato,,,
Unidentified_material,Rato,,,
Teiu,Sapo,,,
Gato,Sapo,,,
Rato,Sapo,,,
Sapo,Sapo,,,
Hexapoda,Sapo,93,6472,
Myriapoda,Sapo,24,129,
Mollusca,Sapo,2,15,
Crustacea,Sapo,8,8,
Chelicerata,Sapo,13,39,
Amphisbaena_ridleyi,Sapo,,,
Animal_tissue,Sapo,,,
Birds,Sapo,,,
Fish,Sapo,,,
Fruits,Sapo,,,
Kerodon_rupestris,Sapo,,,
Mammal,Sapo,,,
Mus_musculus,Sapo,,,
Rodentia,Sapo,,,
Seeds,Sapo,,,
Trachylepis_atlantica,Sapo,1,1,
Unidentified_insects,Sapo,,,
Unidentified_material,Sapo,,,
