"scenario","sign_changes"
"Felis_catus_25percent",9
"Felis_catus_50percent",9
"Felis_catus_75percent",10
"Felis_catus_90percent",10
"Felis_catus_100percent",10
"Rattus_spp_25percent",13
"Rattus_spp_50percent",16
"Rattus_spp_75percent",22
"Rattus_spp_90percent",44
"Rattus_spp_100percent",45
"Salvator_merianae_25percent",1
"Salvator_merianae_50percent",13
"Salvator_merianae_75percent",14
"Salvator_merianae_90percent",14
"Salvator_merianae_100percent",15
"Rhinella_25percent",1
"Rhinella_50percent",4
"Rhinella_75percent",4
"Rhinella_90percent",5
"Rhinella_100percent",16
"Cats_and_Rats",45
"Cats_and_Tegu",14
"All_Invasive",43
