"scenario","mean_change","positive_species","negative_species","sign_changes","Trachylepis","Amphisbaena","Kerodon"
"Felis_catus_25percent",-1.51224639495698e-05,8,7,9,0.000378653372207095,-2.50120435148734e-06,1.29411595154029e-05
"Felis_catus_50percent",-3.56112513611202e-05,8,7,9,0.000851699135182403,-5.69643211833167e-06,2.67242446924652e-05
"Felis_catus_75percent",-6.3987703061293e-05,8,7,10,0.00146471518387303,-9.92138132050632e-06,4.17487428639447e-05
"Felis_catus_90percent",-8.65211185455774e-05,8,7,10,0.00193085342081156,-1.31799960594824e-05,5.16325489997257e-05
"Felis_catus_100percent",-0.000104688007958111,8,7,10,0.00229792512712988,-1.57670457551043e-05,5.87147008942104e-05
"Rattus_spp_25percent",-3.25764263864356e-05,7,8,13,0.000264683509723959,-1.23576872683271e-06,5.42037538412512e-05
"Rattus_spp_50percent",-7.00943668009655e-05,7,8,16,0.000629581255562854,-3.60204720017851e-06,9.5278998064283e-05
"Rattus_spp_75percent",-0.000136009270302576,7,8,22,0.00124635171754757,-9.70003503278076e-06,8.13869457837262e-05
"Rattus_spp_90percent",-0.000277084006737173,4,11,44,0.0020886334219021,-2.19992122574152e-05,-6.53102424228898e-05
"Rattus_spp_100percent",-0.000945839768906845,4,11,45,0.00458408804444649,-6.51122369191021e-05,-0.000709458900406723
"Salvator_merianae_25percent",4.05245126090714e-05,5,10,1,-0.000343917586403997,3.5413607304131e-06,-1.64318343872077e-07
"Salvator_merianae_50percent",8.6605670675336e-05,5,10,13,-0.00083044810532615,8.11634282291338e-06,-1.44398607767248e-06
"Salvator_merianae_75percent",0.000143440152246122,6,9,14,-0.00156266105135212,1.44785013399785e-05,-4.70038333056028e-06
"Salvator_merianae_90percent",0.000187164308284359,7,8,14,-0.00220709900427222,1.97918603655048e-05,-8.33375800608814e-06
"Salvator_merianae_100percent",0.000223129039527036,7,8,15,-0.00277671000635319,2.43564753749771e-05,-1.19146952632264e-05
"Rhinella_25percent",-2.1321980461427e-05,6,9,1,-0.000107247794642606,-1.48953063958695e-08,-4.92727348288743e-09
"Rhinella_50percent",-4.812553943135e-05,4,11,4,-0.000245202459665897,-5.91962553347481e-08,-2.85888125950429e-07
"Rhinella_75percent",-8.26439228870836e-05,4,11,4,-0.000436533793272503,-2.27767909018017e-07,-1.84577715344391e-06
"Rhinella_90percent",-0.000107750011896503,4,11,5,-0.000622515161650567,-7.32358175030216e-07,-7.08399080448507e-06
"Rhinella_100percent",-0.000114982167836777,4,11,16,-0.00125054066129497,-5.564278736035e-06,-5.89408909268986e-05
"Cats_and_Rats",-0.00132911203505555,8,7,45,0.0086348890680903,-0.000100140910855081,0.000163668398147363
"Cats_and_Tegu",7.62713664458714e-05,10,5,14,0.00016187497198863,3.85573548665801e-06,5.08531024692761e-05
"All_Invasive",8.59512138677594e-05,10,5,43,0.00176143109711044,-5.52747245886544e-08,0.000315618099767572
